,0
50,[Br:3][C:8]1=[C:10]([H:34])[N:20]([C:26]2([H:52])[C:24]([H:48])([H:49])[C:28]([H:55])([H:56])[N+:31]([H:60])([H:61])[C:29]([H:57])([H:58])[C:25]2([H:50])[H:51])[N:4]=[C:7]1[H:32].[O:1]=[C:5]([N:21]([C@@:30]([C:6](=[O:2])[N:19]([C:23]([H:45])([H:46])[H:47])[H:40])([C:27]([C:11]1=[C:9]([H:33])[N:18]([H:39])[c:17]2[c:15]([H:38])[c:13]([H:36])[c:12]([H:35])[c:14]([H:37])[c:16]21)([H:53])[H:54])[H:59])[H:41])[C:22]([H:42])([H:43])[H:44]
51,[O:1]=[C:7]([O:5][c:14]1[c:11]([H:34])[c:13]([H:36])[c:16]([H:38])[c:18]2[c:15]([H:37])[c:12]([H:35])[c:10]([H:33])[n:4][c:17]12)[N:20]1[C:26]([H:52])([H:53])[C:28]([H:56])([H:57])[C:30]([H:60])([H:61])[C:29]([H:58])([H:59])[C:27]1([H:54])[H:55].[O:2]=[C:8]([N:21]([C@@:32]([C:9](=[O:3])[N:19]([C:24]([H:47])([H:48])[H:49])[H:39])([C:31]([C:25]([S:6][C:22]([H:41])([H:42])[H:43])([H:50])[H:51])([H:62])[H:63])[H:64])[H:40])[C:23]([H:44])([H:45])[H:46]
52,[O:1]=[C:9]([N:22]([C@@:32]([C:14](=[O:6])[N:21]([C:26]([H:48])([H:49])[H:50])[H:39])([C:31]([C:29]([C:13](=[O:5])[O-:7])([H:56])[H:57])([H:59])[H:60])[H:61])[H:40])[C:23]([H:41])([H:42])[H:43].[O:2]=[C:10]([c:20]1[c:18]([H:37])[c:16]([H:35])[c:15]([H:34])[c:17]([H:36])[c:19]1[H:38])[C:24]([C:11](=[O:3])[C:25]([C:12](=[O:4])[C:28]([C:30]([O:8][H:33])([C:27]([H:51])([H:52])[H:53])[H:58])([H:54])[H:55])([H:46])[H:47])([H:44])[H:45]
53,[O:1]=[C:4]([N:27]([C@@:33]([C:5](=[O:2])[N:26]([C:29]([H:51])([H:52])[H:53])[H:46])([C:32]([C:30]([H:54])([H:55])[H:56])([C:31]([H:57])([H:58])[H:59])[H:60])[H:61])[H:47])[C:28]([H:48])([H:49])[H:50].[O:3]([c:13]1[c:7]([H:36])[c:10]([H:39])[c:19]2[c:11]([H:40])[c:17]([H:45])[c:23]3[c:22]4[c:16]([H:44])[c:8]([H:37])[c:6]([H:35])[c:9]([H:38])[c:18]4[c:15]([H:43])[c:21]4[c:14]([H:42])[c:12]([H:41])[c:20]1[c:24]2[c:25]43)[H:34]
54,[O:1]=[C:10]([O:9][H:38])[c:22]1[c:19]([H:41])[c:20]([H:42])[c:24]([N+:30](=[O:7])[O-:8])[c:21]([H:43])[c:23]1[C:11](=[O:2])[N:28]([C:35]1([H:58])[C:14](=[O:5])[N:25]([H:44])[C:13](=[O:4])[C:34]1([H:56])[H:57])[H:47].[O:3]=[C:12]([N:29]([C@@:37]([C:15](=[O:6])[N:27]([C:33]([H:53])([H:54])[H:55])[H:46])([C:36]([C:17]1=[C:16]([H:39])[N:26]([H:45])[C:18]([H:40])=[N+:31]1[H:49])([H:59])[H:60])[H:61])[H:48])[C:32]([H:50])([H:51])[H:52]
55,[O:1]=[C:7]([O:5][H:34])[C:12]([O:6][H:35])=[C:11]([C:8](=[O:2])[c:19]1[c:16]([H:39])[c:18]([H:41])[c:21]2[c:20]([c:17]1[H:40])[C:13]([H:37])=[C:14]([H:38])[N:23]2[H:44])[H:36].[O:3]=[C:9]([N:26]([C@@:33]([C:10](=[O:4])[N:24]([C:29]([H:53])([H:54])[H:55])[H:45])([C:32]([C:31]([C:30]([N:25]([C:15]([N:22]([H:42])[H:43])=[N+:27]([H:48])[H:49])[H:46])([H:56])[H:57])([H:58])[H:59])([H:60])[H:61])[H:62])[H:47])[C:28]([H:50])([H:51])[H:52]
56,[Cl:3][c:17]1[c:11]([H:34])[c:13]([H:36])[c:18]([S:6][c:21]2[c:16]([H:39])[c:15]([H:38])[c:19]([H:40])[c:22]3[n:5][c:10]([N:24]([H:41])[H:42])[n:4][c:20]([N:25]([H:43])[H:44])[c:23]23)[c:14]([H:37])[c:12]1[H:35].[O:1]=[C:8]([N:27]([C@@:33]([C:9](=[O:2])[N:26]([C:30]([H:53])([H:54])[H:55])[H:45])([C:32]([C:31]([S:7][C:28]([H:47])([H:48])[H:49])([H:56])[H:57])([H:58])[H:59])[H:60])[H:46])[C:29]([H:50])([H:51])[H:52]
57,[N:3]1=[C:7]([C:24]([C:26]([C:25]([c:15]2[c:13]([H:35])[c:11]([H:33])[c:10]([H:32])[c:12]([H:34])[c:14]2[H:36])([H:56])[H:57])([H:58])[H:59])([H:54])[H:55])[N:16]([H:37])[C:8]([H:31])=[C:9]1[C:20]([O:4][H:30])([H:43])[H:44].[O:1]=[C:5]([N:18]([C@@:29]([C:6](=[O:2])[N:17]([C:21]([H:45])([H:46])[H:47])[H:38])([C:28]([C:27]([C:22]([H:48])([H:49])[H:50])([C:23]([H:51])([H:52])[H:53])[H:60])([H:61])[H:62])[H:63])[H:39])[C:19]([H:40])([H:41])[H:42]
58,[O:1]=[C:8]([N:21]([C@@:30]([C:11](=[O:4])[N:20]([C:27]([H:53])([H:54])[H:55])[H:37])([C:29]([C:28]([C:10](=[O:3])[N:18]([H:34])[H:35])([H:56])[H:57])([H:58])[H:59])[H:60])[H:38])[C:24]([H:45])([H:46])[H:47].[O:2]=[C:9]([N:19]([O:6][C:23]([H:42])([H:43])[H:44])[H:36])[C:25]([O:7][c:15]1[c:12]([H:31])[c:13]([H:32])[c:17]([C:26]([H:50])([H:51])[H:52])[c:14]([H:33])[c:16]1[O:5][C:22]([H:39])([H:40])[H:41])([H:48])[H:49]
59,[O:1]=[C:7]1[c:18]2[c:13]([H:30])[c:12]([H:29])[c:17]([O:4][P:25](=[S:3])([O:5][C:22]([H:34])([H:35])[H:36])[O:6][C:23]([H:37])([H:38])[H:39])[c:14]([H:31])[c:19]2[C:8](=[O:2])[N:21]1[C:24]([c:20]1[c:15]([H:32])[c:10]([H:27])[c:9]([H:26])[c:11]([H:28])[c:16]1[H:33])([H:40])[H:41]
60,[O:1]=[C:6]([N:9]([C@@:18]([C:7](=[O:2])[N:8]([C:11]([H:27])([H:28])[H:29])[H:22])([C:17]([O:5][H:21])([H:40])[H:41])[H:42])[H:23])[C:10]([H:24])([H:25])[H:26].[O:3]([C:13]([O:4][H:20])([C:15]([C:16]([C:14]([C:12]([H:30])([H:31])[H:32])([H:34])[H:35])([H:38])[H:39])([H:36])[H:37])[H:33])[H:19]
61,[F:3][c:11]1[c:7]([H:23])[c:9]([H:25])[c:12]([C:18]([O:4][H:22])([C:19]([N:14]([H:28])[H:29])([H:38])[H:39])[H:37])[c:10]([H:26])[c:8]1[H:24].[O:1]=[C:5]([N:15]([C@@:21]([C:6](=[O:2])[N:13]([C:17]([H:34])([H:35])[H:36])[H:27])([C:20]([H:40])([H:41])[H:42])[H:43])[H:30])[C:16]([H:31])([H:32])[H:33]
62,[O:1]=[C:8]([N:19]([C@@:24]([C:11](=[O:4])[N:18]([C:22]([H:39])([H:40])[H:41])[H:33])([C:23]([O:7][H:27])([H:42])[H:43])[H:44])[H:34])[C:20]([H:35])([H:36])[H:37].[O:2]=[C:9]([O:5][H:25])[C:21]([C:10](=[O:3])[O:6][H:26])([c:17]1[c:15]([H:31])[c:13]([H:29])[c:12]([H:28])[c:14]([H:30])[c:16]1[H:32])[H:38]
63,[O:1]=[C:6]([c:15]1[c:13]([H:28])[c:11]([H:26])[c:10]([H:25])[c:12]([H:27])[c:14]1[H:29])[N:17]([C:7](=[O:2])[N:16]([H:30])[H:31])[H:32].[O:3]=[C:8]([N:19]([C@@:23]([C:9](=[O:4])[N:18]([C:21]([H:38])([H:39])[H:40])[H:33])([C:22]([O:5][H:24])([H:41])[H:42])[H:43])[H:34])[C:20]([H:35])([H:36])[H:37]
64,[O:1]([c:11]1[c:9]([H:25])[c:7]([H:23])[c:8]([H:24])[c:10]([H:26])[c:12]1[C:18]([C:20]1([H:41])[C:6]2=[C:5]([C:15]([H:31])([H:32])[C:4]([O:2][C:14]([H:28])([H:29])[H:30])=[C:3]([H:22])[C:16]2([H:33])[H:34])[C:17]([H:35])([H:36])[C:19]([H:39])([H:40])[N:13]1[H:27])([H:37])[H:38])[H:21]
65,[O:1]=[C:8]1[O:6][C:22]([H:35])([H:36])[C:13]([c:19]2[c:16]([H:30])[c:15]([H:29])[c:18]3[c:20]([c:17]2[H:31])[C:12]([C:21]([H:32])([H:33])[H:34])=[C:14]([C:26]([O:7][C:10](=[O:3])[C:25]([C:24]([C:9](=[O:2])[O:4][H:27])([H:40])[H:41])([H:42])[H:43])([C:23]([H:37])([H:38])[H:39])[H:44])[O:5]3)=[C:11]1[H:28]
66,[O:1]=[C:3]([c:10]1[c:8]([H:25])[c:6]([H:23])[c:5]([H:22])[c:7]([H:24])[c:9]1[H:26])[C:13]([C:14]([C:4](=[O:2])[C:19]1([H:41])[C:16]([H:35])([H:36])[C:17]([H:37])([H:38])[C:20]2([H:42])[N:12]([H:28])[N:11]([H:27])[C:15]([H:33])([H:34])[C:21]2([H:43])[C:18]1([H:39])[H:40])([H:31])[H:32])([H:29])[H:30]
67,[I:5][c:13]1[c:9]([H:23])[c:11]([H:25])[c:14]([C:20]([N:16]([H:28])[H:29])([H:37])[H:38])[c:12]([H:26])[c:10]1[H:24].[O:1]=[C:6]([N:17]([C@@:22]([C:8](=[O:3])[N:15]([C:19]([H:34])([H:35])[H:36])[H:27])([C:21]([C:7](=[O:2])[O-:4])([H:39])[H:40])[H:41])[H:30])[C:18]([H:31])([H:32])[H:33]
68,[O:1]=[C:13]([c:31]1[c:27]([F:4])[c:22]([H:47])[c:23]([H:48])[c:30]([O:11][C:38]([C:16]2=[N:9][c:29]3[c:18]([n:10][c:17]([H:43])[c:32]([C:39]([F:6])([F:7])[F:8])[c:24]3[H:49])[S:12]2)([H:59])[H:60])[c:28]1[F:5])[N:34]([H:52])[H:53].[O:2]=[C:14]([N:36]([C@@:42]([C:15](=[O:3])[N:35]([C:40]([H:61])([H:62])[H:63])[H:54])([C:41]([c:33]1[c:25]([H:50])[c:20]([H:45])[c:19]([H:44])[c:21]([H:46])[c:26]1[H:51])([H:64])[H:65])[H:66])[H:55])[C:37]([H:56])([H:57])[H:58]
69,[O:1]=[C:9]([O:7][H:37])[C:14]1=[C:15]([N:25]([C:10](=[O:2])[c:23]2[c:20]([H:40])[c:18]([H:38])[c:22]([Cl:6])[c:19]([H:39])[c:21]2[H:41])[H:44])[S:8][C:16]2=[C:17]1[C:31]([H:55])([H:56])[C:34]([H:61])([H:62])[C:33]([H:59])([H:60])[C:30]2([H:53])[H:54].[O:3]=[C:11]([N:27]([C@@:36]([C:13](=[O:5])[N:26]([C:29]([H:50])([H:51])[H:52])[H:45])([C:35]([C:32]([C:12](=[O:4])[N:24]([H:42])[H:43])([H:57])[H:58])([H:63])[H:64])[H:65])[H:46])[C:28]([H:47])([H:48])[H:49]
70,[O:1]=[C:13]1[C:17]([F:5])=[C:18]([H:44])[N:27]([C:33]2([H:60])[O:10][C:34]([C:32]([O:9][P:29]([O:7][H:40])[O:8][H:41])([H:58])[H:59])([H:61])[C:36]([O:12][H:43])([H:63])[C:35]2([O:11][H:42])[H:62])[C:14](=[O:2])[N:25]1[H:49].[O:3]=[C:15]([N:28]([C@@:38]([C:16](=[O:4])[N:26]([C:31]([H:55])([H:56])[H:57])[H:50])([C:37]([c:24]1[c:21]([H:47])[c:19]([H:45])[c:23]([O:6][H:39])[c:20]([H:46])[c:22]1[H:48])([H:64])[H:65])[H:66])[H:51])[C:30]([H:52])([H:53])[H:54]
71,[O:1]=[C:8]([N:20]([C@@:32]([C:11](=[O:4])[N:18]([C:22]([H:46])([H:47])[H:48])[H:40])([C:31]([c:17]1[c:14]([H:38])[c:12]([H:36])[c:16]([O:6][H:34])[c:13]([H:37])[c:15]1[H:39])([H:65])[H:66])[H:67])[H:42])[C:21]([H:43])([H:44])[H:45].[O:2]=[C:9]([N:19]([C:26]([C:10](=[O:3])[O:5][H:33])([C:27]([C:24]([S:7][H:35])([H:52])[H:53])([H:57])[H:58])[H:56])[H:41])[C:25]([C:29]([C:30]([C:28]([C:23]([H:49])([H:50])[H:51])([H:59])[H:60])([H:63])[H:64])([H:61])[H:62])([H:54])[H:55]
72,[O:1]=[C:6]([N:16]([C@@:29]([C:9](=[O:4])[N:15]([C:20]([H:47])([H:48])[H:49])[H:37])([C@:28]([C:26]([H:60])([H:61])[H:62])([C:27]([C:21]([H:50])([H:51])[H:52])([H:63])[H:64])[H:65])[H:66])[H:38])[C:17]([H:39])([H:40])[H:41].[O:2]=[C:7]([N:14]([H:35])[H:36])[C:24]([C:25]([O:5][H:30])([C:8](=[O:3])[C:22]([C:23]([C:13](=[C:12]([C:19]([C:11](=[C:10]([C:18]([H:42])([H:43])[H:44])[H:31])[H:32])([H:45])[H:46])[H:33])[H:34])([H:55])[H:56])([H:53])[H:54])[H:59])([H:57])[H:58]
73,[O:1]=[C:7]([N:15]([C@@:30]([C:8](=[O:2])[N:13]([C:18]([H:44])([H:45])[H:46])[H:38])([C:29]([C:10]1=[C:9]([H:35])[N:12]([H:37])[C:11]([H:36])=[N+:16]1[H:40])([H:64])[H:65])[H:66])[H:39])[C:17]([H:41])([H:42])[H:43].[O:3]([C:20]([C:28]1([H:63])[N:14]([C:21]([C:24]([C:23]([C:19]([H:47])([H:48])[H:49])([H:56])[H:57])([H:58])[H:59])([H:52])[H:53])[C:22]([H:54])([H:55])[C:25]([O:4][H:32])([H:60])[C:26]([O:5][H:33])([H:61])[C:27]1([O:6][H:34])[H:62])([H:50])[H:51])[H:31]
74,[O:1]=[C:8]([N:33]([C@@:38]([C:10](=[O:3])[N:32]([C:36]([H:61])([H:62])[H:63])[H:54])([C:37]([c:30]1[c:26]([H:51])[c:20]([H:45])[c:19]([H:44])[c:21]([H:46])[c:27]1[H:52])([H:64])[H:65])[H:66])[H:55])[C:34]([H:56])([H:57])[H:58].[O:2]=[C:9]([N:31]([C:11]1=[N:5][C:13]([c:15]2[n:6][c:14]([H:40])[c:16]([H:41])[c:18]([H:43])[c:17]2[H:42])=[C:12]([H:39])[S:7]1)[H:53])[C:35]([c:29]1[c:24]([H:49])[c:22]([H:47])[c:28]([F:4])[c:23]([H:48])[c:25]1[H:50])([H:59])[H:60]
75,[N:1](=[C:3](\[S:2][H:17])[N:4]([C:5]([H:18])([H:19])[H:20])[C:6]([H:21])([H:22])[H:23])\[C@:12]1([H:34])[C:8]([H:26])([H:27])[C@@:13]2([H:35])[C:9]([H:28])([H:29])[C@:14]1([H:36])[C@:16]1([H:38])[C:11]([H:32])([H:33])[C:7]([H:24])([H:25])[C:10]([H:30])([H:31])[C@:15]21[H:37]
76,[O:1]=[C:6]([N:19]([C:22]([C:7](=[O:2])[N:18]([C:21]([H:34])([H:35])[H:36])[H:29])([H:37])[H:38])[H:30])[C:20]([H:31])([H:32])[H:33].[n:3]1[c:10]([H:25])[c:14]([H:28])[c:17]2[c:15]3[c:11]([n:4][c:13]([H:27])[c:16]2[c:12]1[H:26])[S:5][C:8]([H:23])=[C:9]3[H:24]
77,[O:1]=[C:5]1[S:3][C:11]2=[C:9]([S:4][C:17]3([H:32])[C:18]4([H:33])[C:14]([H:26])([H:27])[C:15]([H:28])([H:29])[C:19]([H:34])([C:16]4([H:30])[H:31])[C:20]3([H:35])[C:13]2([C:10]2=[C:8]([H:23])[C:7]([H:22])=[C:6]([H:21])[O:2]2)[H:25])[N:12]1[H:24]
78,[O:1]=[C:7]([N:10]([C@@:17]([C:8](=[O:2])[N:9]([C:12]([H:26])([H:27])[H:28])[H:21])([C:16]([H:34])([H:35])[H:36])[H:37])[H:22])[C:11]([H:23])([H:24])[H:25].[O:3]([S:6][C:14]([C:15]([O:5][H:20])([C:13]([O:4][H:19])([H:29])[H:30])[H:33])([H:31])[H:32])[H:18]
79,[Cl:1][c:8]1[n:2][c:9]2[c:11]([c:10]([N:13]([C:17]([C:14]([C:7]3=[C:6]([H:22])[C:15]([H:27])([H:28])[C:18]([H:33])([H:34])[C:19]([H:35])([H:36])[C:16]3([H:29])[H:30])([H:25])[H:26])([H:31])[H:32])[H:24])[n:3]1)[N:12]([H:23])[C:5]([H:21])=[C:4]2[H:20]
80,[O:1]=[C:3]1[O:2][C@:17](/[C:9](=[C:8](/[C:6](=[C:7]([C:14]([C:11]([H:26])([H:27])[H:28])([C:12]([H:29])([H:30])[H:31])[H:34])[H:20])[C:13]([C:10]([H:23])([H:24])[H:25])([H:32])[H:33])[H:21])[H:22])([H:39])[C@:16]([C:15]([H:35])([H:36])[H:37])([H:38])[C:5]([H:19])=[C:4]1[H:18]
81,[O:1]=[S:15]1(=[O:2])[C:13]([H:28])([H:29])[C:11]23[C:7]([H:20])([H:21])[C:3]([H:16])=[C:4]([H:17])[C:9]([H:24])([H:25])[C:12]2([C:10]([H:26])([H:27])[C:6]([H:19])=[C:5]([H:18])[C:8]3([H:22])[H:23])[C:14]1([H:30])[H:31]
82,[C:1]1([H:7])([H:8])[C:2]([H:9])([H:10])[C:4]([H:13])([H:14])[C:6]([H:17])([H:18])[C:5]([H:15])([H:16])[C:3]1([H:11])[H:12].[c:19]1([H:25])[c:20]([H:26])[c:22]([H:28])[c:24]([H:30])[c:23]([H:29])[c:21]1[H:27]
83,[O:1]([C:5]1=[C:4]([H:15])[C:6]([H:16])([H:17])[C:2]([H:13])=[C:3]([H:14])[C:7]1([H:18])[H:19])[C:12]([C:10]([C:8]([H:20])([H:21])[H:22])([H:26])[H:27])([C:11]([C:9]([H:23])([H:24])[H:25])([H:28])[H:29])[H:30]
84,[O:1]([C:7]([H:18])([H:19])[H:20])[C:9]1([C:8]([H:21])([H:22])[H:23])[O:2][C@@:12]2([H:28])[O:3][C@:11]([C:10]([H:24])([H:25])[H:26])([H:27])[C@@:13]([O:4][H:16])([H:29])[C@:15]([O:6][H:17])([H:31])[C@@:14]2([H:30])[O:5]1
85,[O:1]=[C:9]([N:13]([H:22])[H:23])[C:18]1([Cl:7])[C:16]2([Cl:5])[C:11]([H:20])=[C:12]([H:21])[C:17]([Cl:6])([C:15]2([Cl:3])[Cl:4])[C:19]1([Cl:8])[C:10](=[O:2])[N:14]([H:24])[H:25]
86,[N:1]1([H:7])[C:2]([H:8])([H:9])[C:4]([H:12])([H:13])[C:6]([H:16])([H:17])[C:5]([H:14])([H:15])[C:3]1([H:10])[H:11].[O:18]([C:20]([C:19]([H:22])([H:23])[H:24])([H:25])[H:26])[H:21]
87,[O:1]([C:4]1=[C:6]([C:11]([C:8]([H:17])([H:18])[H:19])([C:9]([H:20])([H:21])[H:22])[C:10]([H:23])([H:24])[H:25])[C:5]([H:13])=[C:3]([H:12])[S:2]1)[C:7]([H:14])([H:15])[H:16]
88,[O:1]=[C:6]1[C:7]2=[N:2][N:3]=[C:8]([c:12]3[n:5][c:10]([H:18])[c:9]([H:17])[n:4][c:11]3[H:19])[N:14]2[C:16]([H:23])([H:24])[C:15]([H:21])([H:22])[N:13]1[H:20]
89,[O:1]([C:3]([C:2]([H:5])([H:6])[H:7])([H:8])[H:9])[H:4].[N:10]1=[C:11]([H:16])[N:14]([H:18])[C:12]([H:17])=[C:13]1[C:15]([H:19])([H:20])[H:21]
90,[C:1](=[C:2]([c:8]1[c:6]([H:17])[c:4]([H:15])[c:3]([H:14])[c:5]([H:16])[c:7]1[H:18])[C:11]1([H:23])[C:9]([H:19])([H:20])[C:10]1([H:21])[H:22])([H:12])[H:13]
91,[O:1]=[P:5]([O:2][H:6])([O:3][H:7])[O:4][H:8].[C:9]1([H:14])=[C:10]([H:15])[N+:13]([H:18])=[C:11]([H:16])[N:12]1[H:17]
92,[N:1]1([H:7])[C:2]([H:8])([H:9])[C:4]([H:12])([H:13])[C:6]([H:16])([H:17])[C:5]([H:14])([H:15])[C:3]1([H:10])[H:11].[K+:18]
93,[S:1]([C:3]([C:2]([H:5])([H:6])[H:7])([H:8])[H:9])[H:4].[O:10]([H:11])[H:12]
94,[O:1]=[C:6]([O:5][H:38])[C:9]1=[N:4][N:26]([c:23]2[c:19]([H:46])[c:16]([H:43])[c:20]([H:47])[c:24]([C:32]([H:59])([H:60])[H:61])[c:21]2[H:48])[C:11]([c:22]2[c:17]([H:44])[c:14]([H:41])[c:13]([H:40])[c:15]([H:42])[c:18]2[H:45])=[C:10]1[H:39].[O:2]=[C:7]([N:29]([C@@:37]([C:8](=[O:3])[N:27]([C:33]([H:62])([H:63])[H:64])[H:51])([C:36]([C:35]([C:34]([N:28]([C:12]([N:25]([H:49])[H:50])=[N+:30]([H:54])[H:55])[H:52])([H:65])[H:66])([H:67])[H:68])([H:69])[H:70])[H:71])[H:53])[C:31]([H:56])([H:57])[H:58]
95,[F:1][C:2]([H:3])([H:4])[H:5].[K+:6]
